"Y5V 1206 DD 10U";"2";""
"NT 02";"1";""
"USB AGF";"1";""
"RND 1206 1 1,0K";"5";""
"RND 1206 1 2,2K";"1";""
"LED EL 1206 OR";"1";""
"SMD ZF 3,6";"2";""
"BC 847BS NXP";"1";""
"BC 847B SMD";"1";""
"AO 3415A";"2";""
"12,0000-HC49U-S";"1";""
"TLV 70233 DBVR";"1";""
"ATTINY 24A-SSU";"1";""
"1N 4148 SMD";"1";""
"BC 857BS NXP";"1";""
"LED EL 1206 GR1";"1";""
"RND 1206 1 68";"2";""
"RND 1206 1 10K";"3";""
"NPO-G1206 22P";"2";""
"WSL 6G";"1";""
"X7R-G1206 100N";"1";""
